report_finding,report_location,current_location,classification,severity,recommended_action,action_taken,test_evidence,residual_risk
"attest_core hardcoded 2.0.0 vs package.json","session.js:68","packages/attest-core/session.js:70","CONFIRMED_CURRENT (worse: pkg now 2.3.0)","P0","single source of truth + contract test","FIXED: derive from package.json; new bundles stamp 2.3.0","test/attest-core-metadata-version.test.js PASS; 23 attest tests green","none — released fixtures static/unaffected; attest_core is String metadata (no enum)"
"per-frame Vector3 allocation","scene.js:423,428","demos/replay/3d/scene.js:427,432","CONFIRMED_CURRENT","P0","module-level reusable vectors","FIXED: _camPos/_cardPos scratch; 0 per-frame alloc","behavior-preserving (identical distance math); bundle rebuilt","none"
"hit proxy rendered (draw cost)","scene.js:105-109","demos/replay/3d/scene.js:106-113","CONFIRMED_CURRENT","P0","visible=false (raycast still hits)","FIXED: hit.visible=false; N draw calls saved (2N SBS)","test/audit-room-hit-proxy-raycast.test.js PASS (selection identical on r160)","none"
"untrusted innerHTML (LLM /api/ambient-turn)","demo/xreal.html:276,303","demo/xreal.html:276,303","CONFIRMED_CURRENT","P1(security)","textContent + explicit DOM nodes","FIXED: createElement+textContent both sites","browser-verified: pwned=0, payloads render as literal text, no img/script/svg parsed","none for xreal.html"
"innerHTML in spatial-finance","demos/spatial-finance/index.html (9x)","same","CONFIRMED_CURRENT but STATIC_TRUSTED (local PORTFOLIO fixture, not live API)","P2","escape at API boundary when it goes live","DEFERRED: documented; currently fixture-only, no live untrusted source","n/a (no dynamic untrusted input today)","becomes UNTRUSTED if wired to a real API — flagged"
"CORS Access-Control-Allow-Origin: *","api/deliberate.js etc","api/ (10 endpoints)","CONFIRMED_CURRENT","P1","document prod origin allowlist; no credentials w/ wildcard","DEFERRED: documented requirement; not blindly changed (callers unknown)","n/a","prod banking deployment must add allowlist + auth"
"SBS squeeze not device-confirmed","stereo.js header","demos/replay/3d/stereo.js","CONFIRMED_CURRENT","P0(device)","hardware verify squeeze vs frame-packed","DEFERRED: requires Beam Pro (device-day matrix)","n/a — no hardware","cannot resolve without device"
"no instancing / edge-merge","scene.js","demos/replay/3d/scene.js","VALID_BUT_DEFERRED","P1","merge edge outlines to 1 LineSegments; card-face atlas+InstancedMesh","DEFERRED to PERFORMANCE_DECISION_MATRIX (bigger, needs 40-60 event fixture + measured before/after)","n/a","current 12-event demo fine; scale at 40-60 events"
"npm publish lag 2.1.0/2.2.0","release","package now declares 2.3.0","PARTIALLY_FIXED","P1","publish or label pending","DEFERRED: rules forbid npm publish this phase; version declared 2.3.0","n/a","publish is an external Alex action"
"XR OST readability + CJK path","design","OST profile added; CJK pending","PARTIALLY_FIXED","P1","OST bright + CJK wrapping","OST_BRIGHT profile implemented (V11 63d517c/4350852); CJK wrapping DEFERRED (§13G)","OST tests + captures exist","CJK wrapping untested; bright-bg guided-story still fails (open P0 design item)"
"Ambient Council layout (badge overlap / ellipsis / wide)","demo/xreal.html","demo/xreal.html","CONFIRMED_CURRENT","P1","badge reposition + line-clamp + responsive","DEFERRED to §14 (this turn fixed only the innerHTML security in xreal.html)","n/a","visual defects remain — queued"
"anchors.js hand-rolled ASN.1/CMS fuzz+allowlist","anchors.js (1327 lines)","packages/attest-core/anchors.js","VALID_BUT_DEFERRED","P1","DER fuzz + algorithm allowlist + 3rd-party review","DEFERRED: security hardening, separate bounded task","n/a","external anchoring path; not on the demo hot path"
"2D replay ?bundle= preload","demos/replay/main.js","demos/replay","VALID_BUT_DEFERRED","P2","safe preload (no arbitrary URL/path traversal)","DEFERRED to 2D productivity backlog","n/a","low"
"dist single-file (index.html into dist)","build.mjs","demos/replay/3d","VALID_BUT_DEFERRED","P2","fold index.html or relative ref","DEFERRED","n/a","cosmetic — file:// works today"
"spatial-finance treemap 4 unlabeled tiles","scene.js","demos/spatial-finance","VALID_BUT_DEFERRED","P2","label all tiles","DEFERRED","n/a","low"
"flat-mode first-screen framing / small #seq","scene.js","demos/replay/3d/scene.js","VALID_BUT_DEFERRED","P1","closer camera / larger initial labels","DEFERRED to AUDIT_ROOM_UX_REVIEW (§13F)","n/a","flat mode is not the primary XR path"
